conventional_thermal,coal,oil,natural_gas,combustible_renewables,other_combustibles,nuclear,hydro,wind,solar,geothermal,other_renewables,non_specified,renewables,non_renewables,total_net_production,imports,exports,electricity_supplied,for_pumped_storage,t_d_losses,electricity_consumed,country,date,renewable_percentage
233244.0,117096.0,3149.0,106412.0,5783.0,805.0,72571.0,27050.0,18571.0,2047.0,1338.0,0.0,436.0,54789.0,300469.0,355258.0,6001.0,650.0,360609.0,1864.0,24482.0,334263.0,United States,1454306399,15.422312798022844
200038.0,95825.0,2938.0,95223.0,5332.0,720.0,65671.0,25544.0,20247.0,3265.0,1248.0,0.0,386.0,55636.0,260762.0,316399.0,5195.0,900.0,320693.0,1669.0,12400.0,306624.0,United States,1459425599,17.58418194805277
184335.0,74896.0,2423.0,100824.0,5417.0,775.0,66182.0,28573.0,21813.0,3626.0,1328.0,0.0,418.0,60758.0,245517.0,306275.0,5508.0,1012.0,310770.0,1801.0,13757.0,295212.0,United States,1462035599,19.83772753244633
179548.0,74606.0,2514.0,96721.0,4925.0,783.0,62396.0,27009.0,20616.0,3941.0,1218.0,0.0,434.0,57709.0,237454.0,295162.0,4511.0,913.0,298760.0,1853.0,16929.0,279977.0,United States,1464731999,19.551569810579238
200926.0,84329.0,2652.0,107759.0,5330.0,857.0,66596.0,27377.0,18837.0,4796.0,1342.0,0.0,463.0,57682.0,262655.0,320337.0,5367.0,733.0,324972.0,2169.0,25592.0,297211.0,United States,1467341999,18.006661734361
256551.0,119738.0,2670.0,127872.0,5464.0,808.0,67208.0,25682.0,16354.0,4796.0,1240.0,0.0,453.0,53536.0,318748.0,372284.0,6265.0,604.0,377945.0,3055.0,31892.0,342998.0,United States,1472630399,14.380419249820031
297504.0,140504.0,3184.0,147186.0,5798.0,832.0,70384.0,24178.0,17634.0,5444.0,1295.0,0.0,482.0,54349.0,362572.0,416921.0,6990.0,676.0,423234.0,3482.0,34080.0,385673.0,United States,1475240399,13.035802945881834
300777.0,139915.0,3244.0,151101.0,5683.0,833.0,71562.0,22429.0,13598.0,5354.0,1298.0,0.0,444.0,48362.0,367099.0,415461.0,6736.0,793.0,421404.0,3678.0,25998.0,391728.0,United States,1477940399,11.640563133483047
248327.0,117722.0,2642.0,121820.0,5361.0,782.0,65452.0,18650.0,16475.0,4907.0,1319.0,0.0,475.0,46712.0,308893.0,355606.0,5763.0,837.0,360531.0,2901.0,12795.0,344835.0,United States,1480553999,13.135923285668087
209788.0,102319.0,2131.0,99498.0,5078.0,762.0,60763.0,19104.0,20426.0,4275.0,1354.0,0.0,411.0,50237.0,265884.0,316121.0,5200.0,817.0,320504.0,2270.0,13261.0,304973.0,United States,1485845999,15.89169969726782
190077.0,89826.0,2526.0,91695.0,5259.0,771.0,65211.0,20345.0,19381.0,3615.0,1370.0,0.0,414.0,49970.0,250442.0,300413.0,5891.0,687.0,305616.0,2009.0,16497.0,287111.0,United States,1488286799,16.633822883240352
225115.0,122282.0,2761.0,93465.0,5765.0,842.0,71698.0,24315.0,23040.0,3166.0,1473.0,0.0,401.0,57759.0,291449.0,349208.0,6175.0,705.0,354678.0,2378.0,28099.0,324201.0,United States,1490986799,16.539999083640698
216396.0,118359.0,2992.0,88719.0,5529.0,797.0,73089.0,29549.0,20639.0,2936.0,1351.0,0.0,383.0,60004.0,284338.0,344342.0,6143.0,542.0,349943.0,2292.0,19226.0,328425.0,United States,1493596799,17.42569886914753
175657.0,89375.0,2317.0,78140.0,5124.0,702.0,64025.0,25725.0,22119.0,3417.0,1198.0,0.0,373.0,57583.0,234932.0,292515.0,5129.0,849.0,296795.0,1725.0,12014.0,283056.0,United States,1496293199,19.68548621438217
193388.0,92357.0,2381.0,92439.0,5493.0,719.0,65065.0,31607.0,26071.0,6090.0,1332.0,0.0,417.0,70593.0,253377.0,323970.0,5637.0,1228.0,328380.0,1955.0,23898.0,302527.0,United States,1501495199,21.78998055375498
175929.0,84235.0,1825.0,84052.0,5108.0,709.0,56719.0,30833.0,25757.0,6550.0,1310.0,0.0,415.0,69559.0,227955.0,297514.0,5591.0,1284.0,301820.0,1984.0,18701.0,281135.0,United States,1504191599,23.38007623170674
